sample,diet,condition,diet_condition,multiplicity (tumours => 2mm),weight,liver,spleen,epi_fat,sub_fat,caecum,largest_tumour,cholesterol (mmol/L),triglyceride,ldl,hdl,non_hdl,fbs_gtt
NC_190T,NC,Tumour,NC_Tumour,2,26,1.33,0.13,0.48,0.36,0.37,NA,2.64,0.53,0.49,1.91,0.73,8.9
NC_216,NC,Normal,NC_Normal,1,29.5,1.19,0.08,0.54,0.43,0.81,4.2,NA,NA,NA,NA,NA,7.2
NC_216T,NC,Tumour,NC_Tumour,1,29.5,1.19,0.08,0.54,0.43,0.81,4.2,NA,NA,NA,NA,NA,7.2
NC_224,NC,Normal,NC_Normal,3,30,1.3,0.09,0.19,0.18,0.39,4.2,2.5,0.5,NA,2.05,0.45,7
NC_224T,NC,Tumour,NC_Tumour,3,30,1.3,0.09,0.19,0.18,0.39,4.2,2.5,0.5,NA,2.05,0.45,7
NC_225,NC,Normal,NC_Normal,0,29.9,1.15,0.11,0.26,0.26,0.58,NA,2.37,0.55,0.37,1.74,0.62,7.3
NC_225T,NC,Tumour,NC_Tumour,0,29.9,1.15,0.11,0.26,0.26,0.58,NA,2.37,0.55,0.37,1.74,0.62,7.3
NC_226,NC,Normal,NC_Normal,1,31.3,1.24,0.09,0.31,0.23,0.68,3,2.2,0.5,NA,1.85,0.35,7.3
NC_226T,NC,Tumour,NC_Tumour,1,31.3,1.24,0.09,0.31,0.23,0.68,3,2.2,0.5,NA,1.85,0.35,7.3
NC_239T,NC,Tumour,NC_Tumour,1,23.8,1.12,0.05,0.25,0.13,0.41,7,2.76,0.5,NA,2.39,0.37,4.9
NC_240,NC,Normal,NC_Normal,1,25,1.05,0.05,0.21,0.23,0.48,3,2.18,0.51,0.13,1.81,0.37,6.3
NC_240T,NC,Tumour,NC_Tumour,1,25,1.05,0.05,0.21,0.23,0.48,3,2.18,0.51,0.13,1.81,0.37,6.3
